answer,guessed,num_guessed,time_to_solve
crimp,handy#swift#glove#crump#crimp,5,0.27
exalt,handy#swift#glove#crump#exalt,5,0.3
nasal,handy#swift#glove#crump#nasal,5,0.28
sower,handy#swift#glove#crump#serow#sower,6,0.31
ovine,handy#swift#glove#crump#ovine,5,0.28
fleet,handy#swift#glove#crump#fleet,5,0.29
sauna,handy#swift#glove#crump#sauna,5,0.3
petal,handy#swift#glove#crump#tepal#petal,6,0.3
demur,handy#swift#glove#crump#mured#demur,6,0.3
safer,handy#swift#glove#crump#safer,5,0.29
toast,handy#swift#glove#crump#toast,5,0.3
sumac,handy#swift#glove#crump#sumac,5,0.28
brine,handy#swift#glove#crump#brine,5,0.3
whine,handy#swift#glove#crump#whine,5,0.28
after,handy#swift#glove#crump#after,5,0.29
savvy,handy#swift#glove#crump#savvy,5,0.28
pedal,handy#swift#glove#crump#pedal,5,0.3
reign,handy#swift#glove#crump#reign,5,0.28
cedar,handy#swift#glove#crump#cedar,5,0.28
sneak,handy#swift#glove#crump#sneak,5,0.29
slung,handy#swift#glove#crump#slung,5,0.28
melee,handy#swift#glove#crump#melee,5,0.3
depot,handy#swift#glove#crump#depot,5,0.28
white,handy#swift#glove#crump#white,5,0.28
plaza,handy#swift#glove#crump#plaza,5,0.29
tangy,handy#swift#glove#crump#tangy,5,0.28
jazzy,handy#swift#glove#crump#yabby#jazzy,6,0.3
shale,handy#swift#glove#crump#shale,5,0.3
shank,handy#swift#glove#crump#snash#shank,6,0.3
ratty,handy#swift#glove#crump#tarry#ratty,6,0.3
udder,handy#swift#glove#crump#dured#udder,6,0.3
olden,handy#swift#glove#crump#olden,5,0.29
libel,handy#swift#glove#crump#bezil#libel,6,0.3
kayak,handy#swift#glove#crump#kayak,5,0.29
outgo,handy#swift#glove#crump#outgo,5,0.3
suave,handy#swift#glove#crump#suave,5,0.28
mamma,handy#swift#glove#crump#mamma,5,0.28
smear,handy#swift#glove#crump#smear,5,0.3
parse,handy#swift#glove#crump#parse,5,0.29
pudgy,handy#swift#glove#crump#pudgy,5,0.28
tunic,handy#swift#glove#crump#tunic,5,0.3
light,handy#swift#glove#crump#light,5,0.28
picky,handy#swift#glove#crump#picky,5,0.29
sport,handy#swift#glove#crump#sport,5,0.3
pubic,handy#swift#glove#crump#pubic,5,0.28
panic,handy#swift#glove#crump#panic,5,0.3
virus,handy#swift#glove#crump#virus,5,0.28
cinch,handy#swift#glove#crump#cinch,5,0.29
dairy,handy#swift#glove#crump#dairy,5,0.3
queue,handy#swift#glove#crump#bubbe#queue,6,0.31
heavy,handy#swift#glove#crump#heavy,5,0.28
faith,handy#swift#glove#crump#faith,5,0.28
elegy,handy#swift#glove#crump#elegy,5,0.29
stung,handy#swift#glove#crump#stung,5,0.28
riser,handy#swift#glove#crump#ribes#riser,6,0.31
bench,handy#swift#glove#crump#kench#bench,6,0.3
worse,handy#swift#glove#crump#worse,5,0.28
befit,handy#swift#glove#crump#befit,5,0.29
qualm,handy#swift#glove#crump#qualm,5,0.3
erect,handy#swift#glove#crump#erect,5,0.28
fault,handy#swift#glove#crump#fault,5,0.28
wiser,handy#swift#glove#crump#wiser,5,0.29
erode,handy#swift#glove#crump#erode,5,0.28
tabby,handy#swift#glove#crump#batty#tabby,6,0.3
smith,handy#swift#glove#crump#smith,5,0.3
quiet,handy#swift#glove#crump#quiet,5,0.28
thief,handy#swift#glove#crump#thief,5,0.29
grimy,handy#swift#glove#crump#grimy,5,0.28
brass,handy#swift#glove#crump#arras#brass,6,0.31
taste,handy#swift#glove#crump#taste,5,0.28
cluck,handy#swift#glove#crump#cluck,5,0.28
audit,handy#swift#glove#crump#audit,5,0.29
zonal,handy#swift#glove#crump#zonal,5,0.3
vivid,handy#swift#glove#crump#vivid,5,0.28
porch,handy#swift#glove#crump#porch,5,0.28
gusty,handy#swift#glove#crump#gutsy#gusty,6,0.3
laugh,handy#swift#glove#crump#laugh,5,0.28
align,handy#swift#glove#crump#align,5,0.28
dully,handy#swift#glove#crump#dully,5,0.3
coyly,handy#swift#glove#crump#colly#coyly,6,0.3
linen,handy#swift#glove#crump#linen,5,0.29
drink,handy#swift#glove#crump#drink,5,0.28
sonar,handy#swift#glove#crump#sonar,5,0.28
bulge,handy#swift#glove#crump#bulge,5,0.29
usage,handy#swift#glove#crump#usage,5,0.3
tonic,handy#swift#glove#crump#tonic,5,0.27
basin,handy#swift#glove#crump#nabis#basin,6,0.31
amuse,handy#swift#glove#crump#amuse,5,0.28
brink,handy#swift#glove#crump#brink,5,0.3
